anio mes dia dia_semana hora_inicio hora_fin actividad_base modalidad centro plazas ocupadas libres tipo_actividad
2026 1 31 sabado 10:00 11:30 uso_libre_sala_de_musculacion_90 ninguna Centro_Integrado_Arganzuela 32 32 0 uso_libre
2026 1 31 sabado 10:00 11:00 uso_libre_de vaso_ensenanza Centro_Integrado_Arganzuela 8 6 2 uso_libre
2026 1 31 sabado 10:00 12:00 triatlon_por_madrid ninguna Cerro_Almodovar 20 3 17 actividad_dirigida
2026 1 31 sabado 10:00 12:00 uso_circuito_bmx ninguna Circuito_BMX_Madrid_Rio 40 4 36 uso_libre
2026 1 31 sabado 10:00 11:00 cubo_gym_cross_training_funcional ninguna Cubo_Gym_Chamartin 20 4 16 actividad_dirigida
2026 1 31 sabado 10:00 11:00 cubo_gym_cross_training_funcional ninguna Cubo_Gym_Las_Tablas 20 3 17 actividad_dirigida
2026 1 31 sabado 10:00 11:00 cubo_gym_cross_training_funcional ninguna Cubo_Gym_Madrid_Rio 20 11 9 actividad_dirigida
2026 1 31 sabado 10:00 11:00 cubo_gym_cross_training_funcional ninguna Cubo_Gym_Retiro 20 0 20 actividad_dirigida
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Daoiz_y_Velarde 10 10 0 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Daoiz_y_Velarde 10 10 0 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Daoiz_y_Velarde 10 10 0 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Daoiz_y_Velarde 10 9 1 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Daoiz_y_Velarde 10 7 3 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Daoiz_y_Velarde 10 3 7 uso_libre
2026 1 31 sabado 10:00 11:30 uso_sala_musculacion ninguna Daoiz_y_Velarde 3 3 0 uso_libre
2026 1 31 sabado 10:00 11:30 uso_sala_multitrabajo ninguna Daoiz_y_Velarde 35 35 0 uso_libre
2026 1 31 sabado 10:00 11:00 uso_de vaso_ensenanza Daoiz_y_Velarde 10 10 0 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna El_Espinillo 35 19 16 uso_libre
2026 1 31 sabado 10:00 11:00 prueba_de_nivel_de_natacion ninguna El_Espinillo 12 1 11 prueba_de_nivel
2026 1 31 sabado 10:00 10:45 barcas_estanque_del_retiro ninguna Estanque_del_Retiro 15 0 15 barca_de_recreo
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Faustina_Valladolid 12 3 9 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Faustina_Valladolid 36 13 23 uso_libre
2026 1 31 sabado 10:00 11:30 uso_sala_multitrabajo ninguna Faustina_Valladolid 35 35 0 uso_libre
2026 1 31 sabado 10:00 11:00 uso_de vaso_ensenanza Faustina_Valladolid 10 10 0 uso_libre
2026 1 31 sabado 10:00 11:00 boulder ninguna Felix_Rubio 6 0 6 actividad_dirigida
2026 1 31 sabado 10:00 11:30 sala_de_musculacion ninguna Felix_Rubio 12 12 0 uso_libre
2026 1 31 sabado 10:00 12:00 autoproteccion_para_las_mujeres ninguna Francisco_Fernandez_Ochoa 20 13 7 actividad_dirigida
2026 1 31 sabado 10:00 11:00 ciclo_sala_virtual ninguna Francisco_Fernandez_Ochoa 36 14 22 actividad_dirigida
2026 1 31 sabado 10:00 11:30 uso_sala_multitrabajo ninguna Fuente_del_Berro 13 0 13 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre bordillo Gimnasio_Moscardo 10 10 0 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre central Gimnasio_Moscardo 20 20 0 uso_libre
2026 1 31 sabado 10:00 11:00 de vaso_ensenanza Gimnasio_Moscardo 6 6 0 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Hortaleza 15 15 0 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Jose_Maria_Cagigal 8 6 2 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre calles_lateral Jose_Maria_Cagigal 8 3 5 uso_libre
2026 1 31 sabado 10:00 11:00 uso_de vaso_ensenanza Jose_Maria_Cagigal 8 2 6 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Juan_de_Dios_Roman 8 8 0 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Juan_de_Dios_Roman 5 3 2 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Juan_de_Dios_Roman 32 20 12 uso_libre
2026 1 31 sabado 10:00 11:30 uso_sala_multitrabajo ninguna La_Chopera 20 0 20 uso_libre
2026 1 31 sabado 10:00 11:00 calistenia ninguna La_Maso 20 0 20 actividad_dirigida
2026 1 31 sabado 10:00 11:00 nado_libre ninguna La_Maso 20 20 0 uso_libre
2026 1 31 sabado 10:00 10:45 natacion_acondicionamiento ninguna La_Maso 15 5 10 actividad_dirigida
2026 1 31 sabado 10:00 10:30 uso_sala_multitrabajo ninguna La_Maso 12 11 1 uso_libre
2026 1 31 sabado 10:00 11:00 uso_de vaso_ensenanza La_Maso 16 7 9 uso_libre
2026 1 31 sabado 10:00 10:45 barcas_lago_casa_campo ninguna Lago_Casa_de_Campo 11 0 11 barca_de_recreo
2026 1 31 sabado 10:00 10:45 cubo_gym_cross_training_funcional ninguna Las_Cruces 12 12 0 actividad_dirigida
